,,0
oxycontin-use,cocaine-use,0.9565073529411765
oxycontin-use,crack-use,0.08647058823529413
oxycontin-use,heroin-use,0.15738970588235293
oxycontin-use,hallucinogen-use,1.5570955882352944
oxycontin-use,hallucinogen-frequency,-4.034191176470588
oxycontin-use,inhalant-use,0.062316176470588215
oxycontin-use,pain-releiver-use,1.8804779411764707
oxycontin-use,pain-releiver-frequency,-2.001470588235294
oxycontin-use,oxycontin-use,0.36992647058823536
oxycontin-use,tranquilizer-use,1.018529411764706
oxycontin-use,tranquilizer-frequency,-2.4806985294117645
oxycontin-use,stimulant-use,0.8112132352941176
oxycontin-use,stimulant-frequency,-21.249264705882354
oxycontin-use,meth-use,0.14316176470588235
oxycontin-use,sedative-use,0.052536764705882345
oxycontin-use,sedative-frequency,-2.9955882352941177
tranquilizer-use,n,-161.7691176470589
tranquilizer-use,alcohol-use,34.67669117647059
tranquilizer-use,alcohol-frequency,16.766544117647058
tranquilizer-use,marijuana-use,19.61110294117647
tranquilizer-use,marijuana-frequency,24.737867647058827
tranquilizer-use,cocaine-use,2.9320220588235295
tranquilizer-use,crack-use,0.3194117647058824
tranquilizer-use,heroin-use,0.47904411764705884
tranquilizer-use,hallucinogen-use,4.225036764705883
tranquilizer-use,hallucinogen-frequency,-12.046323529411765
tranquilizer-use,inhalant-use,-0.16867647058823534
tranquilizer-use,pain-releiver-use,5.325808823529412
tranquilizer-use,pain-releiver-frequency,-5.035661764705882
tranquilizer-use,oxycontin-use,1.018529411764706
tranquilizer-use,tranquilizer-use,3.074338235294118
tranquilizer-use,tranquilizer-frequency,-7.832720588235292
tranquilizer-use,stimulant-use,2.245514705882353
tranquilizer-use,stimulant-frequency,-57.95091911764706
tranquilizer-use,meth-use,0.4313602941176471
tranquilizer-use,sedative-use,0.16323529411764706
tranquilizer-use,sedative-frequency,-9.755514705882355
tranquilizer-frequency,n,-1524.9522058823527
tranquilizer-frequency,alcohol-use,-169.9448529411765
tranquilizer-frequency,alcohol-frequency,-101.61948529411767
tranquilizer-frequency,marijuana-use,-55.18713235294118
tranquilizer-frequency,marijuana-frequency,-124.73529411764706
tranquilizer-frequency,cocaine-use,-6.1534926470588225
tranquilizer-frequency,crack-use,-0.936029411764706
tranquilizer-frequency,heroin-use,-0.6726102941176472
tranquilizer-frequency,hallucinogen-use,-10.079779411764708
tranquilizer-frequency,hallucinogen-frequency,121.58455882352942
tranquilizer-frequency,inhalant-use,1.6841911764705884
tranquilizer-frequency,pain-releiver-use,-12.795772058823529
tranquilizer-frequency,pain-releiver-frequency,55.698529411764696
tranquilizer-frequency,oxycontin-use,-2.4806985294117645
tranquilizer-frequency,tranquilizer-use,-7.832720588235292
tranquilizer-frequency,tranquilizer-frequency,131.90992647058823
tranquilizer-frequency,stimulant-use,-5.301286764705883
tranquilizer-frequency,stimulant-frequency,-178.14613970588235
tranquilizer-frequency,meth-use,-1.0487132352941175
tranquilizer-frequency,sedative-use,-0.3893382352941175
tranquilizer-frequency,sedative-frequency,-4.142463235294119
stimulant-use,n,-368.36360294117645
stimulant-use,alcohol-use,22.03007352941177
stimulant-use,alcohol-frequency,8.755882352941176
stimulant-use,marijuana-use,16.29830882352941
stimulant-use,marijuana-frequency,14.507352941176467
stimulant-use,cocaine-use,2.362941176470588
stimulant-use,crack-use,0.20511029411764706
stimulant-use,heroin-use,0.3796323529411764
stimulant-use,hallucinogen-use,3.6951102941176472
stimulant-use,hallucinogen-frequency,-9.551470588235293
stimulant-use,inhalant-use,0.14147058823529404
stimulant-use,pain-releiver-use,4.285551470588236
stimulant-use,pain-releiver-frequency,-4.000735294117648
stimulant-use,oxycontin-use,0.8112132352941176
stimulant-use,tranquilizer-use,2.245514705882353
stimulant-use,tranquilizer-frequency,-5.301286764705883
stimulant-use,stimulant-use,1.9815441176470585
stimulant-use,stimulant-frequency,-43.97463235294118
stimulant-use,meth-use,0.3309558823529411
stimulant-use,sedative-use,0.11033088235294117
stimulant-use,sedative-frequency,-9.122794117647057
stimulant-frequency,n,-12809.040441176472
stimulant-frequency,alcohol-use,-64.97022058823535
stimulant-frequency,alcohol-frequency,477.10110294117646
stimulant-frequency,marijuana-use,-400.1286764705883
stimulant-frequency,marijuana-frequency,-109.6470588235294
stimulant-frequency,cocaine-use,-48.30882352941177
stimulant-frequency,crack-use,-5.964705882352942
stimulant-frequency,heroin-use,-7.97702205882353
stimulant-frequency,hallucinogen-use,-76.79283088235294
stimulant-frequency,hallucinogen-frequency,-134.09558823529412
stimulant-frequency,inhalant-use,-33.46066176470588
stimulant-frequency,pain-releiver-use,-128.3360294117647
stimulant-frequency,pain-releiver-frequency,193.60845588235296
stimulant-frequency,oxycontin-use,-21.249264705882354
stimulant-frequency,tranquilizer-use,-57.95091911764706
stimulant-frequency,tranquilizer-frequency,-178.14613970588235
stimulant-frequency,stimulant-use,-43.97463235294118
stimulant-frequency,stimulant-frequency,7391.492647058824
stimulant-frequency,meth-use,-8.500367647058823
stimulant-frequency,sedative-use,-6.244117647058824
stimulant-frequency,sedative-frequency,-25.184742647058854
meth-use,n,-21.680147058823533
meth-use,alcohol-use,4.820551470588235
meth-use,alcohol-frequency,2.3816176470588233
meth-use,marijuana-use,2.7354411764705886
meth-use,marijuana-frequency,3.20514705882353
meth-use,cocaine-use,0.4245588235294117
meth-use,crack-use,0.04301470588235294
meth-use,heroin-use,0.07161764705882354
meth-use,hallucinogen-use,0.5723897058823529
meth-use,hallucinogen-frequency,-1.704779411764706
meth-use,inhalant-use,-0.014595588235294124
meth-use,pain-releiver-use,0.7638235294117647
meth-use,pain-releiver-frequency,-0.799264705882353
